210;Garanhuns;PE;139788;/wiki/Garanhuns
211;Santana de Parnaíba;SP;139447;/wiki/Santana_de_Parna%C3%ADba
212;Vitória de Santo Antão;PE;138757;/wiki/Vit%C3%B3ria_de_Santo_Ant%C3%A3o
213;Cametá;PA;137890;/wiki/Camet%C3%A1
214;Barbacena (Minas Gerais);MG;137313;/wiki/Barbacena_(Minas_Gerais)
215;Santa Rita (Paraíba);PB;136586;/wiki/Santa_Rita_(Para%C3%ADba)
216;Sabará;MG;136344;/wiki/Sabar%C3%A1
217;Varginha;MG;135558;/wiki/Varginha
218;Apucarana;PR;134996;/wiki/Apucarana
219;Brusque;SC;134723;/wiki/Brusque
220;Simões Filho;BA;134377;/wiki/Sim%C3%B5es_Filho
221;Araras (São Paulo);SP;134236;/wiki/Araras_(S%C3%A3o_Paulo)
222;Itaguaí;RJ;133019;/wiki/Itagua%C3%AD
223;Araruama;RJ;132400;/wiki/Araruama
224;Pinhais;PR;132157;/wiki/Pinhais
225;Crato (Ceará);CE;132123;/wiki/Crato_(Cear%C3%A1)
226;Campo Largo (Paraná);PR;132002;/wiki/Campo_Largo_(Paran%C3%A1)
227;Marituba;PA;131521;/wiki/Marituba
228;Resende (Rio de Janeiro);RJ;131341;/wiki/Resende_(Rio_de_Janeiro)
229;Cubatão;SP;130705;/wiki/Cubat%C3%A3o
230;São Mateus (Espírito Santo);ES;130611;/wiki/S%C3%A3o_Mateus_(Esp%C3%ADrito_Santo)
231;Santa Cruz do Sul;RS;130416;/wiki/Santa_Cruz_do_Sul
232;Cachoeirinha (Rio Grande do Sul);RS;130293;/wiki/Cachoeirinha_(Rio_Grande_do_Sul)
233;Itapipoca;CE;129358;/wiki/Itapipoca
234;Valinhos;SP;129193;/wiki/Valinhos
235;Maranguape;CE;128978;/wiki/Maranguape
236;Ji-Paraná;RO;128969;/wiki/Ji-Paran%C3%A1
237;Conselheiro Lafaiete;MG;128589;/wiki/Conselheiro_Lafaiete
238;São Félix do Xingu;PA;128481;/wiki/S%C3%A3o_F%C3%A9lix_do_Xingu
239;Bragança (Pará);PA;127686;/wiki/Bragan%C3%A7a_(Par%C3%A1)
240;Vespasiano (Minas Gerais);MG;127601;/wiki/Vespasiano_(Minas_Gerais)
241;Trindade (Goiás);GO;127599;/wiki/Trindade_(Goi%C3%A1s)
242;Uruguaiana;RS;126970;/wiki/Uruguaiana
243;Sertãozinho (São Paulo);SP;125815;/wiki/Sert%C3%A3ozinho_(S%C3%A3o_Paulo)
244;Jandira;SP;124937;/wiki/Jandira
245;Guarapari;ES;124859;/wiki/Guarapari
246;Barcarena (Pará);PA;124680;/wiki/Barcarena_(Par%C3%A1)
247;Birigui;SP;123638;/wiki/Birigui
248;Ribeirão Pires;SP;123393;/wiki/Ribeir%C3%A3o_Pires
249;Arapongas;PR;123027;/wiki/Arapongas
250;Codó;MA;122859;/wiki/Cod%C3%B3
251;Colatina;ES;122499;/wiki/Colatina
252;Votorantim;SP;122480;/wiki/Votorantim
253;Paço do Lumiar;MA;122197;/wiki/Pa%C3%A7o_do_Lumiar
254;Barretos;SP;122098;/wiki/Barretos
255;Catanduva;SP;121862;/wiki/Catanduva
256;Várzea Paulista;SP;121838;/wiki/V%C3%A1rzea_Paulista
257;Guaratinguetá;SP;121798;/wiki/Guaratinguet%C3%A1
258;Tatuí;SP;121766;/wiki/Tatu%C3%AD
259;Formosa (Goiás);GO;121617;/wiki/Formosa_(Goi%C3%A1s)
260;Caraguatatuba;SP;121532;/wiki/Caraguatatuba
261;Três Lagoas;MS;121388;/wiki/Tr%C3%AAs_Lagoas
262;Santana (Amapá);AP;121364;/wiki/Santana_(Amap%C3%A1)
263;Bagé;RS;121143;/wiki/Bag%C3%A9
264;Itatiba;SP;120858;/wiki/Itatiba
265;Bento Gonçalves (Rio Grande do Sul);RS;120454;/wiki/Bento_Gon%C3%A7alves_(Rio_Grande_do_Sul)
266;Itabira;MG;120060;/wiki/Itabira
267;Salto (São Paulo);SP;118663;/wiki/Salto_(S%C3%A3o_Paulo)
268;Almirante Tamandaré (Paraná);PR;118623;/wiki/Almirante_Tamandar%C3%A9_(Paran%C3%A1)
269;Paulo Afonso;BA;117782;/wiki/Paulo_Afonso
270;Poá;SP;117452;/wiki/Po%C3%A1
271;Araguari;MG;117267;/wiki/Araguari
272;Igarassu;PE;117019;/wiki/Igarassu
273;Novo Gama;GO;115711;/wiki/Novo_Gama
274;Ubá;MG;115552;/wiki/Ub%C3%A1
275;Senador Canedo;GO;115371;/wiki/Senador_Canedo
276;Passos (Minas Gerais);MG;114679;/wiki/Passos_(Minas_Gerais)
277;Altamira;PA;114594;/wiki/Altamira
278;Parintins;AM;114273;/wiki/Parintins
279;Tucuruí;PA;113659;/wiki/Tucuru%C3%AD
280;Ourinhos;SP;113542;/wiki/Ourinhos
281;Eunápolis;BA;113380;/wiki/Eun%C3%A1polis
282;São Lourenço da Mata;PE;113230;/wiki/S%C3%A3o_Louren%C3%A7o_da_Mata
283;Paragominas;PA;113145;/wiki/Paragominas
284;Piraquara;PR;113036;/wiki/Piraquara
285;Açailândia;MA;112445;/wiki/A%C3%A7ail%C3%A2ndia
286;Umuarama;PR;111557;/wiki/Umuarama
287;Corumbá;MS;111435;/wiki/Corumb%C3%A1
288;Coronel Fabriciano;MG;109855;/wiki/Coronel_Fabriciano
289;Paulínia;SP;109424;/wiki/Paul%C3%ADnia
290;Catalão (Goiás);GO;108823;/wiki/Catal%C3%A3o_(Goi%C3%A1s)
291;Muriaé;MG;108763;/wiki/Muria%C3%A9
292;Santa Cruz do Capibaribe;PE;107937;/wiki/Santa_Cruz_do_Capibaribe
293;Ariquemes;RO;107863;/wiki/Ariquemes
294;Patos;PB;107605;/wiki/Patos
295;Cambé;PR;106533;/wiki/Camb%C3%A9
296;Tailândia (Pará);PA;106339;/wiki/Tail%C3%A2ndia_(Par%C3%A1)
297;Araxá;MG;106229;/wiki/Arax%C3%A1
298;Erechim;RS;105862;/wiki/Erechim
299;Tubarão (Santa Catarina);SC;105686;/wiki/Tubar%C3%A3o_(Santa_Catarina)
300;Bacabal;MA;104949;/wiki/Bacabal
301;Japeri;RJ;104768;/wiki/Japeri
302;Itumbiara;GO;104742;/wiki/Itumbiara
303;Ituiutaba;MG;104671;/wiki/Ituiutaba
304;São Pedro da Aldeia;RJ;104476;/wiki/S%C3%A3o_Pedro_da_Aldeia
305;Lagarto (Sergipe);SE;104408;/wiki/Lagarto_(Sergipe)
306;Assis (São Paulo);SP;104386;/wiki/Assis_(S%C3%A3o_Paulo)
307;Lavras;MG;103773;/wiki/Lavras
308;Tangará da Serra;MT;103750;/wiki/Tangar%C3%A1_da_Serra
309;Leme;SP;103391;/wiki/Leme
310;Itaperuna;RJ;103224;/wiki/Itaperuna
311;Breves;PA;102701;/wiki/Breves
312;Nova Serrana;MG;102693;/wiki/Nova_Serrana
313;Iguatu (Ceará);CE;102498;/wiki/Iguatu_(Cear%C3%A1)
314;São Gonçalo do Amarante (Rio Grande do Norte);RN;102400;/wiki/S%C3%A3o_Gon%C3%A7alo_do_Amarante_(Rio_Grande_do_Norte)
315;Itanhaém;SP;101816;/wiki/Itanha%C3%A9m
316;Santo Antônio de Jesus;BA;101512;/wiki/Santo_Ant%C3%B4nio_de_Jesus
317;Caieiras;SP;101470;/wiki/Caieiras
318;Itacoatiara;AM;101337;/wiki/Itacoatiara
319;Itaituba;PA;101247;/wiki/Itaituba
320;Aracruz;ES;101220;/wiki/Aracruz
321;Jataí (Goiás);GO;100882;/wiki/Jata%C3%AD_(Goi%C3%A1s)
322;Barra do Piraí;RJ;100374;/wiki/Barra_do_Pira%C3%AD
323;Fazenda Rio Grande;PR;100209;/wiki/Fazenda_Rio_Grande
324;Mairiporã;SP;100179;/wiki/Mairipor%C3%A3
325;Abreu e Lima;PE;99990;/wiki/Abreu_e_Lima
326;Vilhena;RO;99854;/wiki/Vilhena
327;Guaíba;RS;98143;/wiki/Gua%C3%ADba
328;Manacapuru;AM;97377;/wiki/Manacapuru
329;Bayeux;PB;96880;/wiki/Bayeux
330;Itajubá;MG;96869;/wiki/Itajub%C3%A1
331;Sarandi (Paraná);PR;96688;/wiki/Sarandi_(Paran%C3%A1)
332;Valença (Bahia);BA;96562;/wiki/Valen%C3%A7a_(Bahia)
333;Ipojuca;PE;96204;/wiki/Ipojuca
334;Itabaiana (Sergipe);SE;95427;/wiki/Itabaiana_(Sergipe)
335;Nova Lima;MG;94889;/wiki/Nova_Lima
336;Balsas;MA;94887;/wiki/Balsas
337;Campo Mourão;PR;94859;/wiki/Campo_Mour%C3%A3o
338;Votuporanga;SP;94547;/wiki/Votuporanga
339;Cáceres (Mato Grosso);MT;94376;/wiki/C%C3%A1ceres_(Mato_Grosso)
340;Itapeva (São Paulo);SP;94354;/wiki/Itapeva_(S%C3%A3o_Paulo)
341;Caçapava;SP;94263;/wiki/Ca%C3%A7apava
342;Pará de Minas;MG;93969;/wiki/Par%C3%A1_de_Minas
343;Itaúna;MG;93214;/wiki/Ita%C3%BAna
344;Mogi Mirim;SP;93189;/wiki/Mogi_Mirim
345;Paracatu;MG;93158;/wiki/Paracatu
346;Ponta Porã;MS;92526;/wiki/Ponta_Por%C3%A3
347;Caratinga;MG;92062;/wiki/Caratinga
348;São João da Boa Vista;SP;91211;/wiki/S%C3%A3o_Jo%C3%A3o_da_Boa_Vista
349;Caldas Novas;GO;91162;/wiki/Caldas_Novas
350;Francisco Beltrão;PR;91093;/wiki/Francisco_Beltr%C3%A3o
351;São Roque (São Paulo);SP;91016;/wiki/S%C3%A3o_Roque_(S%C3%A3o_Paulo)
352;Ubatuba;SP;90799;/wiki/Ubatuba
353;Patrocínio;MG;90757;/wiki/Patroc%C3%ADnio
354;Avaré;SP;90655;/wiki/Avar%C3%A9
355;Sorriso (Mato Grosso);MT;90313;/wiki/Sorriso_(Mato_Grosso)
356;Manhuaçu;MG;90229;/wiki/Manhua%C3%A7u
357;São João del-Rei;MG;90082;/wiki/S%C3%A3o_Jo%C3%A3o_del-Rei
358;São Cristóvão (Sergipe);SE;90072;/wiki/S%C3%A3o_Crist%C3%B3v%C3%A3o_(Sergipe)
359;Planaltina (Goiás);GO;89918;/wiki/Planaltina_(Goi%C3%A1s)
360;Timóteo;MG;89842;/wiki/Tim%C3%B3teo
361;Arujá;SP;89824;/wiki/Aruj%C3%A1
362;Saquarema;RJ;89170;/wiki/Saquarema
363;Santa Inês (Maranhão);MA;89044;/wiki/Santa_In%C3%AAs_(Maranh%C3%A3o)
364;São Sebastião (São Paulo);SP;88980;/wiki/S%C3%A3o_Sebasti%C3%A3o_(S%C3%A3o_Paulo)
365;Lorena (São Paulo);SP;88706;/wiki/Lorena_(S%C3%A3o_Paulo)
366;Cruzeiro do Sul (Acre);AC;88376;/wiki/Cruzeiro_do_Sul_(Acre)
367;Paranavaí;PR;88374;/wiki/Paranava%C3%AD
368;Barra do Corda;MA;88212;/wiki/Barra_do_Corda
369;Quixadá;CE;87728;/wiki/Quixad%C3%A1
370;Luís Eduardo Magalhães (Bahia);BA;87519;/wiki/Lu%C3%ADs_Eduardo_Magalh%C3%A3es_(Bahia)
371;Candeias (Bahia);BA;87076;/wiki/Candeias_(Bahia)
372;Gurupi;TO;86647;/wiki/Gurupi
373;Serra Talhada;PE;86350;/wiki/Serra_Talhada
374;Cacoal;RO;85359;/wiki/Cacoal
375;Coari;AM;85097;/wiki/Coari
376;Redenção (Pará);PA;84787;/wiki/Reden%C3%A7%C3%A3o_(Par%C3%A1)
377;Campo Limpo Paulista;SP;84650;/wiki/Campo_Limpo_Paulista
378;São Bento do Sul;SC;84507;/wiki/S%C3%A3o_Bento_do_Sul
379;Guanambi;BA;84481;/wiki/Guanambi
380;Araripina;PE;84418;/wiki/Araripina
